title,author,price,pages,avg_reviews,n_reviews,star5,star4,star3,star2,star1,dimensions,weight,language,publisher,ISBN_13,link,complete_link,matched_image,mean_rating,cluster,cluster_name,search_blob
Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes,"[ Oz du Soleil,  and , Bill Jelen]",32.07,274.0,4.7,10.0,87.0,13.0,7.0,3.0,3.0,8.25 x 0.6 x 10.75 inches,1.4,English,"Holy Macro! Books; Third edition (August 1, 2022)",978-1615470747,/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_14?keywords=data+analysis&qid=1671164640&sr=8-14,https://www.amazon.com/Guerrilla-Analysis-Using-Microsoft-Excel/dp/1615470743/ref=sr_1_14?keywords=data+analysis&qid=1671164640&sr=8-14,guerrilla_data_analysis_using_microsoft_excel_overcoming_crap_data_and_excel_skirmishes.jpg,4.575221238938053,3,Practical Data Tools & Techniques,"Guerrilla Data Analysis Using Microsoft Excel: Overcoming Crap Data and Excel Skirmishes [ Oz du Soleil,  and , Bill Jelen] English Holy Macro! Books; Third edition (August 1, 2022) Practical Data Tools & Techniques rating 4.7 stars 4.575221238938053 10 reviews priced at $32.07 274 pages"
"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython",[ William McKinney],53.99,547.0,4.6,1686.0,75.0,16.0,5.0,2.0,2.0,7 x 1.11 x 9.19 inches,1.47,English,"O'Reilly Media; 2nd edition (November 14, 2017)",978-1491957660,/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11,https://www.amazon.com/Python-Data-Analysis-Wrangling-IPython/dp/1491957662/ref=sr_1_11?keywords=data+analysis&qid=1671164640&sr=8-11,python_for_data_analysis_data_wrangling_with_pandas_numpy_and_ipython.jpg,4.6,2,Advanced Data Analysis Techniques,"Python for Data Analysis: Data Wrangling with Pandas, NumPy, and IPython [ William McKinney] English O'Reilly Media; 2nd edition (November 14, 2017) Advanced Data Analysis Techniques rating 4.6 stars 4.6 1686 reviews priced at $53.99 547 pages"
Excel Data Analysis For Dummies (For Dummies (Computer/Tech)),[ Paul McFedries],24.49,368.0,3.9,12.0,52.0,17.0,10.0,10.0,10.0,7.38 x 0.83 x 9.25 inches,1.3,English,"For Dummies; 5th edition (February 3, 2022)",978-1119844426,/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12,https://www.amazon.com/Excel-Data-Analysis-Dummies-Computer/dp/1119844428/ref=sr_1_12?keywords=data+analysis&qid=1671164640&sr=8-12,excel_data_analysis_for_dummies_for_dummies_computertech.jpg,3.919191919191919,0,Beginner Python & Data Analysis,"Excel Data Analysis For Dummies (For Dummies (Computer/Tech)) [ Paul McFedries] English For Dummies; 5th edition (February 3, 2022) Beginner Python & Data Analysis rating 3.9 stars 3.919191919191919 12 reviews priced at $24.49 368 pages"
SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights,[ Cathy Tanimura],40.49,360.0,4.6,72.0,75.0,18.0,2.0,2.0,2.0,6.75 x 0.75 x 8.75 inches,1.2,English,"O'Reilly Media; 1st edition (October 5, 2021)",978-1492088783,/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9,https://www.amazon.com/SQL-Data-Analysis-Techniques-Transforming/dp/1492088781/ref=sr_1_9?keywords=data+analysis&qid=1671164640&sr=8-9,sql_for_data_analysis_advanced_techniques_for_transforming_data_into_insights.jpg,4.636363636363637,2,Advanced Data Analysis Techniques,"SQL for Data Analysis: Advanced Techniques for Transforming Data into Insights [ Cathy Tanimura] English O'Reilly Media; 1st edition (October 5, 2021) Advanced Data Analysis Techniques rating 4.6 stars 4.636363636363637 72 reviews priced at $40.49 360 pages"
Qualitative Data Analysis: A Methods Sourcebook,"[ Matthew B. Miles, A. Michael Huberman, et al.]",90.0,408.0,4.7,205.0,84.0,9.0,4.0,2.0,3.0,8.5 x 0.92 x 11 inches,2.15,English,"SAGE Publications, Inc; 4th edition (January 22, 2019)",Research in Drama Education,/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_13?keywords=data+analysis&qid=1671164640&sr=8-13,https://www.amazon.com/Qualitative-Data-Analysis-Methods-Sourcebook/dp/150635307X/ref=sr_1_13?keywords=data+analysis&qid=1671164640&sr=8-13,qualitative_data_analysis_a_methods_sourcebook.jpg,4.6568627450980395,2,Advanced Data Analysis Techniques,"Qualitative Data Analysis: A Methods Sourcebook [ Matthew B. Miles, A. Michael Huberman, et al.] English SAGE Publications, Inc; 4th edition (January 22, 2019) Advanced Data Analysis Techniques rating 4.7 stars 4.6568627450980395 205 reviews priced at $90.00 408 pages"
Topological Data Analysis with Applications,"[ Gunnar Carlsson,  and , Mikael Vejdemo-Johansson]",54.19,230.0,5.0,5.0,100.0,15.0,7.0,3.0,3.0,6.75 x 0.75 x 9.75 inches,1.28,English,"Cambridge University Press; 1st edition (March 24, 2022)",978-1108838658,/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_37?keywords=data+analysis&qid=1671164640&sr=8-37,https://www.amazon.com/Topological-Analysis-Applications-Gunnar-Carlsson/dp/1108838650/ref=sr_1_37?keywords=data+analysis&qid=1671164640&sr=8-37,topological_data_analysis_with_applications.jpg,4.609375,3,Practical Data Tools & Techniques,"Topological Data Analysis with Applications [ Gunnar Carlsson,  and , Mikael Vejdemo-Johansson] English Cambridge University Press; 1st edition (March 24, 2022) Practical Data Tools & Techniques rating 5.0 stars 4.609375 5 reviews priced at $54.19 230 pages"
"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse",[ Robert I. Kabacoff],56.99,656.0,4.3,14.0,78.0,11.0,11.0,3.0,3.0,7.38 x 1.5 x 9.25 inches,2.62,English,"Manning; 3rd edition (May 3, 2022)",978-1617296055,/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_60?keywords=data+analysis&qid=1671164640&sr=8-60,https://www.amazon.com/Action-Third-Robert-I-Kabacoff/dp/1617296058/ref=sr_1_60?keywords=data+analysis&qid=1671164640&sr=8-60,r_in_action_third_edition_data_analysis_and_graphics_with_r_and_tidyverse.jpg,4.490566037735849,1,General Data Science & R/Python Basics,"R in Action, Third Edition: Data analysis and graphics with R and Tidyverse [ Robert I. Kabacoff] English Manning; 3rd edition (May 3, 2022) General Data Science & R/Python Basics rating 4.3 stars 4.490566037735849 14 reviews priced at $56.99 656 pages"
SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL,[ Chad Knowles],15.969999999999999,106.0,4.9,201.0,91.0,8.0,1.0,3.0,3.0,6 x 0.24 x 9 inches,7.5,English,"Independently published (September 21, 2022)",979-8354008353,/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1,https://www.amazon.com/gp/slredirect/picassoRedirect.html/ref=pa_sp_mtf_aps_sr_pg1_1?ie=UTF8&adId=A0492571P7LVKSU93F2O&qualifier=1671164640&id=6357489869092693&widgetName=sp_mtf&url=%2FSQL-Data-Analytics-efficient-analysis%2Fdp%2FB0BG5JN89K%2Fref%3Dsr_1_17_sspa%3Fkeywords%3Ddata%2Banalysis%26qid%3D1671164640%26sr%3D8-17-spons%26psc%3D1,sql_for_data_analytics_perform_fast_and_efficient_data_analysis_with_the_power_of_sql.jpg,4.7075471698113205,3,Practical Data Tools & Techniques,"SQL for Data Analytics: Perform efficient and fast data analysis with the power of SQL [ Chad Knowles] English Independently published (September 21, 2022) Practical Data Tools & Techniques rating 4.9 stars 4.7075471698113205 201 reviews priced at $15.97 106 pages"
Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook,"[ Programming Languages Academy, Matthew Kinsey, et al.]",41.722,398.0,4.4,292.0,63.0,22.0,7.0,3.0,4.0,Unknown,3.9297536898625394,en,Unknown,Unknown,/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59,https://www.amazon.com/Python-Beginners-Perfect-Learning-Workbook/dp/B084VHN9M6/ref=sr_1_59?keywords=python&qid=1671164641&sr=8-59,python_programming_3_books_in_1_the_complete_beginner__s_guide_to_learning_the_most_popular_programming_language.jpg,4.383838383838384,1,General Data Science & R/Python Basics,"Python for Beginners: 2 Books in 1: The Perfect Beginner's Guide to Learning How to Program with Python with a Crash Course + Workbook [ Programming Languages Academy, Matthew Kinsey, et al.] en Unknown General Data Science & R/Python Basics rating 4.4 stars 4.383838383838384 292 reviews priced at $41.72 398 pages"
Think Bayes: Bayesian Statistics in Python (O'reilly),[ Allen B. Downey],24.2,338.0,4.5,55.0,76.0,8.0,10.0,3.0,3.0,7 x 0.75 x 9 inches,1.19,English,"O'Reilly Media; 2nd edition (June 8, 2021)",978-1492089469,/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,https://www.amazon.com/Think-Bayes-Bayesian-Statistics-Python/dp/149208946X/ref=sr_1_55?keywords=python&qid=1671164641&sr=8-55,think_bayes_bayesian_statistics_in_python_oreilly.jpg,4.51,2,Advanced Data Analysis Techniques,"Think Bayes: Bayesian Statistics in Python (O'reilly) [ Allen B. Downey] English O'Reilly Media; 2nd edition (June 8, 2021) Advanced Data Analysis Techniques rating 4.5 stars 4.51 55 reviews priced at $24.20 338 pages"
